Date,Day,Weather,Holiday,Customers,Sales
2024-01-01,Monday,Snowy,Yes,84,8736
2024-01-02,Tuesday,Rainy,Yes,168,18984
2024-01-03,Wednesday,Sunny,No,114,15504
2024-01-04,Thursday,Cloudy,Yes,124,16616
2024-01-05,Friday,Cloudy,Yes,151,16006
2024-01-06,Saturday,Cloudy,No,145,15370
2024-01-07,Sunday,Sunny,Yes,120,12720
2024-01-08,Monday,Sunny,Yes,132,16104
2024-01-09,Tuesday,Sunny,Yes,177,20532
2024-01-10,Wednesday,Snowy,Yes,209,21945
2024-01-11,Thursday,Snowy,Yes,157,19468
2024-01-12,Friday,Sunny,No,117,16380
2024-01-13,Saturday,Snowy,No,66,6732
2024-01-14,Sunday,Rainy,No,138,16698
2024-01-15,Monday,Rainy,No,180,18360
2024-01-16,Tuesday,Rainy,No,39,4758
2024-01-17,Wednesday,Sunny,No,186,22506
2024-01-18,Thursday,Snowy,Yes,144,18000
2024-01-19,Friday,Rainy,Yes,185,26085
2024-01-20,Saturday,Cloudy,Yes,184,20976
2024-01-21,Sunday,Sunny,No,87,10179
2024-01-22,Monday,Snowy,Yes,126,13482
2024-01-23,Tuesday,Cloudy,No,113,15368
2024-01-24,Wednesday,Sunny,No,182,24024
2024-01-25,Thursday,Rainy,No,36,5004
2024-01-26,Friday,Sunny,Yes,136,18088
2024-01-27,Saturday,Rainy,No,119,14042
2024-01-28,Sunday,Rainy,Yes,66,7590
2024-01-29,Monday,Snowy,Yes,144,17280
2024-01-30,Tuesday,Snowy,Yes,203,26796
2024-01-31,Wednesday,Cloudy,Yes,134,14070
2024-02-01,Thursday,Snowy,No,60,6720
2024-02-02,Friday,Sunny,No,126,15120
2024-02-03,Saturday,Cloudy,No,63,7119
2024-02-04,Sunday,Rainy,Yes,149,14900
2024-02-05,Monday,Snowy,Yes,97,10185
2024-02-06,Tuesday,Snowy,No,134,18224
2024-02-07,Wednesday,Rainy,Yes,115,12765
2024-02-08,Thursday,Snowy,No,133,16758
2024-02-09,Friday,Cloudy,Yes,149,19966
